WorksPlace;WorkYear;OnTerritoryOfMoscow;AdmArea;District;WorksBeginDate;PlannedEndDate;ActualBeginDate;ActualEndDate;WorksType;WorksStatus;WorkReason;Customer;Contractor;global_id;geoData;geodata_center
Место проведения;Год проведения работ;Объект расположен в пределах границ города Москвы;Административный округ;Район;Плановая дата начала выполнения работ;Плановая дата окончания работ;Фактическая дата начала выполнения работ;Фактическая дата окончания работ;Тип работ;Статус работ;Основание проведения работ;Заказчик;Подрядчик;global_id;geoData;geodata_center
Типографская улица;2020;да;Юго-Западный административный округ;район Южное Бутово;19.09.2020;25.09.2020;19.09.2020;25.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062027653;{coordinates=[[[37.58487649, 55.510322689], [37.584763837, 55.509739458], [37.58482821, 55.509602761], [37.585053516, 55.509520743], [37.586147857, 55.509420499], [37.587722093, 55.50900361], [37.592585159, 55.507789213], [37.592907024, 55.507698078], [37.593100143, 55.507716305]]], type=MultiLineString};{coordinates=[37.587722093, 55.50900361], type=Point}
Новооскольская ул.;2020;да;Юго-Западный административный округ;район Южное Бутово;05.09.2020;13.09.2020;05.09.2020;13.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062027698;{coordinates=[[[37.574890626, 55.548601173], [37.573957217, 55.548988094], [37.573112322, 55.549365907], [37.572597338, 55.549593503], [37.572347892, 55.54967999], [37.567447496, 55.551810201], [37.56724678, 55.55190412], [37.565805984, 55.552483841], [37.563552929, 55.553375942]]], type=MultiLineString};{coordinates=[37.567447496, 55.551810201], type=Point}
2-й Богучарский переулок;2020;да;Юго-Западный административный округ;район Южное Бутово;09.09.2020;13.09.2020;09.09.2020;13.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062027732;{coordinates=[[[37.572516871, 55.551432435], [37.57268585, 55.551405125], [37.573101372, 55.551212263], [37.573160601, 55.551177539], [37.573587073, 55.550995469], [37.573836518, 55.550877123], [37.57411815, 55.550731466], [37.574669344, 55.550367334], [37.575007302, 55.550192088], [37.575421704, 55.550007738], [37.575506193, 55.549934908]]], type=MultiLineString};{coordinates=[37.57411815, 55.550731466], type=Point}
Молодежная улица;2020;да;Юго-Западный административный округ;Гагаринский район;20.09.2020;01.10.2020;20.09.2020;01.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062027750;{coordinates=[[[37.550686373, 55.691279827], [37.548505737, 55.692522533], [37.548296525, 55.692409149], [37.543758227, 55.695016897], [37.544627263, 55.69548854], [37.546689659, 55.694297348], [37.547018282, 55.694112951], [37.547338976, 55.693933002], [37.54914142, 55.69288536], [37.548916115, 55.692740229], [37.549696638, 55.692286694], [37.551056518, 55.691492995]]], type=MultiLineString};{coordinates=[37.547338976, 55.693933002], type=Point}
Аллея 11 Героев Саперов;2020;да;Западный административный округ;район Кунцево;12.09.2020;23.09.2020;12.09.2020;23.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062027826;{coordinates=[[[37.405380386, 55.752343346], [37.409764901, 55.750247602], [37.410063523, 55.75009719], [37.40990259, 55.749970387], [37.4107153, 55.749580919], [37.414196807, 55.747923345], [37.414352375, 55.747841848], [37.41531797, 55.747370836], [37.415213364, 55.746877173], [37.415100711, 55.746800179], [37.41462596, 55.746759418]]], type=MultiLineString};{coordinates=[37.4107153, 55.749580919], type=Point}
5-ая Мякининская;2020;да;Западный административный округ;район Кунцево;07.09.2020;17.09.2020;07.09.2020;17.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062027888;{coordinates=[[[37.381011177, 55.810374722], [37.380270887, 55.810397331], [37.380049605, 55.810433504], [37.379578877, 55.810643761], [37.378971357, 55.810883407], [37.37829544, 55.811143399], [37.377402264, 55.811498341], [37.377253402, 55.8115526], [37.377198189, 55.811565141], [37.377112586, 55.811566164], [37.376997922, 55.811518694], [37.375978012, 55.810600805], [37.376730371, 55.811279046], [37.376235504, 55.811432779], [37.375961918, 55.811514167], [37.375756729, 55.811566164], [37.375595797, 55.811595554], [37.375354398, 55.811615901], [37.3749923, 55.811636248]]], type=MultiLineString};{coordinates=[37.377402264, 55.811498341], type=Point}
Варшавское шоссе д.148 корп.1 (территория прилегающая к государственной поликлинике № 211);2020;да;Южный административный округ;район Чертаново Южное;22.09.2020;02.10.2020;22.09.2020;02.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062028448;{coordinates=[[[37.60431714, 55.601301106], [37.603110146, 55.60149658], [37.602233064, 55.601078355], [37.602140528, 55.601073821], [37.601979595, 55.601101097], [37.601854873, 55.601237475], [37.601484728, 55.601298845], [37.601388168, 55.601282934], [37.601287585, 55.601237475], [37.601203211, 55.601233977], [37.601154366, 55.601241181], [37.601009977, 55.601262478], [37.600873184, 55.601239748], [37.600800764, 55.601198834], [37.600736391, 55.601135191], [37.600563389, 55.600912439], [37.60102607, 55.600837431], [37.600426596, 55.600935169], [37.598740828, 55.601221564]]], type=MultiLineString};{coordinates=[37.601388168, 55.601282934], type=Point}
Проезд от разворотного круга на Чертановской ул. к домовладению № 1 по ул. Ак. Янгеля;2020;да;Южный административный округ;район Чертаново Южное;23.09.2020;30.09.2020;23.09.2020;30.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062028693;{coordinates=[[[37.582929206, 55.596591218], [37.582172823, 55.595554609], [37.582714409, 55.595543284], [37.583103403, 55.59554007], [37.585745526, 55.595518236], [37.586936427, 55.59544549]]], type=MultiLineString};{coordinates=[37.583103403, 55.59554007], type=Point}
Нагатинский 3-й пр-д (Пр. пр. 3716);2020;да;Южный административный округ;район Нагатино-Садовники;25.09.2020;09.10.2020;25.09.2020;09.10.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062028736;{coordinates=[[[37.628046643, 55.671273176], [37.632311355, 55.671731492], [37.632480334, 55.671785945], [37.632483803, 55.671780577], [37.632486899, 55.671779252], [37.633743655, 55.671241411], [37.632480334, 55.671781408], [37.632488282, 55.671786153], [37.632617127, 55.671863087], [37.632955085, 55.672126276], [37.634395431, 55.673215313]]], type=MultiLineString};{coordinates=[37.632311355, 55.671731492], type=Point}
Проезд от ул. Нижние Поля до д. 27Ас.5;2020;да;Юго-Восточный административный округ;[район Люблино, район Марьино];14.09.2020;27.09.2020;14.09.2020;27.09.2020;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1062028824;{coordinates=[[[37.732733258, 55.658755877], [37.733039029, 55.658510756], [37.733292617, 55.658255345], [37.733294405, 55.658253473], [37.733473547, 55.658065902], [37.733722993, 55.657825316]]], type=MultiLineString};{coordinates=[37.733292617, 55.658255345], type=Point}
