WorksPlace;WorkYear;OnTerritoryOfMoscow;AdmArea;District;WorksBeginDate;PlannedEndDate;ActualBeginDate;ActualEndDate;WorksType;WorksStatus;WorkReason;Customer;Contractor;global_id;geoData;geodata_center
Место проведения;Год проведения работ;Объект расположен в пределах границ города Москвы;Административный округ;Район;Плановая дата начала выполнения работ;Плановая дата окончания работ;Фактическая дата начала выполнения работ;Фактическая дата окончания работ;Тип работ;Статус работ;Основание проведения работ;Заказчик;Подрядчик;global_id;geoData;geodata_center
Волоколамский тоннель на всем протяжении;2021;да;Северный административный округ;[район Аэропорт, район Сокол];24.07.2021;15.10.2021;24.07.2021;06.08.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1136405457;{coordinates=[[[37.501798868, 55.807657493], [37.505639791, 55.806964116], [37.50795722, 55.806451612], [37.50998497, 55.805927042], [37.511508465, 55.805504969], [37.514662743, 55.804709047], [37.51588583, 55.804407557], [37.518973058, 55.803777814], [37.519179583, 55.803914617], [37.51758833, 55.804219185], [37.516169003, 55.804523816], [37.514743209, 55.804828135], [37.510405904, 55.805964299], [37.508471651, 55.806458465], [37.506196104, 55.806975476], [37.501863241, 55.807806719]]], type=MultiLineString};{coordinates=[37.510405904, 55.805964299], type=Point}
Можайское шоссе от МКАД до балансовая принадлежность;2021;да;Западный административный округ;Можайский район;24.07.2021;15.10.2021;24.07.2021;07.08.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1136405482;{coordinates=[[[37.367865443, 55.7103904], [37.369785905, 55.710889057], [37.373251319, 55.711556946], [37.376250029, 55.711995147], [37.383304238, 55.713074009], [37.385562658, 55.713427578], [37.385364175, 55.71383554], [37.380353808, 55.712962195], [37.378288507, 55.712644885], [37.376319766, 55.712137184], [37.373669744, 55.71175036], [37.371861935, 55.711420952], [37.368240952, 55.710620085], [37.367742062, 55.710505243], [37.367833257, 55.710384355]]], type=MultiLineString};{coordinates=[37.376319766, 55.712137184], type=Point}
Нагатинский метромост спуск с моста в сторону облости;2021;да;Южный административный округ;[Даниловский район, район Нагатино-Садовники];21.07.2021;15.10.2021;21.07.2021;06.08.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1136405486;{coordinates=[[[37.665284872, 55.687180679], [37.66512394, 55.686019453], [37.665005922, 55.685336007]]], type=MultiLineString};{coordinates=[37.66512394, 55.686019453], type=Point}
Проезд от улицы Ворошилова на всем протяжении;2021;да;Западный административный округ;район Внуково;21.07.2021;27.07.2021;21.07.2021;27.07.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1136405488;{coordinates=[[[37.211015224, 55.617167371], [37.211970091, 55.616361544]]], type=MultiLineString};{coordinates=[37.211015224, 55.617167371], type=Point}
Арбатский переулок на всем протяжении;2021;да;Центральный административный округ;район Арбат;22.07.2021;24.07.2021;22.07.2021;23.07.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1136405490;{coordinates=[[[37.59718895, 55.751423714], [37.596931458, 55.752733942]]], type=MultiLineString};{coordinates=[37.59718895, 55.751423714], type=Point}
7-я улица Текстильщиков на всём протяжении;2021;да;Юго-Восточный административный округ;район Текстильщики;21.07.2021;15.10.2021;21.07.2021;17.08.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1136405491;{coordinates=[[[37.74687767, 55.700281393], [37.748508453, 55.693775425]]], type=MultiLineString};{coordinates=[37.748508453, 55.693775425], type=Point}
Мячковский бульвар на всем протяжении;2021;да;Юго-Восточный административный округ;район Марьино;28.07.2021;15.10.2021;28.07.2021;15.09.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1136405492;{coordinates=[[[37.749323845, 55.658929524], [37.762713432, 55.647767436], [37.764194012, 55.648300189], [37.760868073, 55.651024383], [37.750740051, 55.659498439], [37.74936676, 55.658881105]]], type=MultiLineString};{coordinates=[37.760868073, 55.651024383], type=Point}
Кропоткинский переулок от Большой Левшинский переулок до Пречистенка улица;2021;да;Центральный административный округ;район Хамовники;29.07.2021;15.10.2021;29.07.2021;10.09.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1136405503;{coordinates=[[[37.586744428, 55.74179943], [37.588165998, 55.740863294], [37.588541508, 55.740630767], [37.589582205, 55.740041893]]], type=MultiLineString};{coordinates=[37.588165998, 55.740863294], type=Point}
Малый Левшинский переулок на всем протяжении;2021;да;Центральный административный округ;район Хамовники;29.07.2021;15.10.2021;29.07.2021;31.10.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1136405536;{coordinates=[[[37.588579059, 55.74246377], [37.591921091, 55.740821017]]], type=MultiLineString};{coordinates=[37.591921091, 55.740821017], type=Point}
Волгоградский проспект д.8;2021;да;Центральный административный округ;Таганский район;29.07.2021;15.10.2021;29.07.2021;12.08.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1136405542;{coordinates=[[[37.672371268, 55.731361759], [37.672843337, 55.731068763], [37.673524618, 55.730712333]]], type=MultiLineString};{coordinates=[37.672843337, 55.731068763], type=Point}
Территория больницы имени С.П. Боткина корпус №7;2021;да;Северный административный округ;район Беговой;29.07.2021;29.07.2021;29.07.2021;29.07.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1136405543;{coordinates=[[[37.549408078, 55.780592295], [37.550607026, 55.779868268], [37.550022304, 55.779551501], [37.548834085, 55.780281568], [37.549394667, 55.780583245]]], type=MultiLineString};{coordinates=[37.550022304, 55.779551501], type=Point}
Добролюбова улица на всем протяжении;2021;да;Северо-Восточный административный округ;Бутырский район;27.09.2021;15.10.2021;27.09.2021;25.10.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1146549285;{coordinates=[[[37.595472336, 55.807280659], [37.592275143, 55.817758299], [37.591840625, 55.819140136], [37.59193182, 55.81916726], [37.592291236, 55.819197398], [37.592414618, 55.819149177], [37.592956424, 55.817380056], [37.593154907, 55.816759187], [37.593567967, 55.81546618], [37.593879104, 55.814432346], [37.594286799, 55.813142276], [37.594410181, 55.812751931], [37.596051693, 55.80734849], [37.595547438, 55.807285181]]], type=MultiLineString};{coordinates=[37.594286799, 55.813142276], type=Point}
улицы Мусы Джалиля;2021;да;Южный административный округ;район Зябликово;16.09.2021;15.10.2021;16.09.2021;25.10.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1146549373;{coordinates=[[[37.744361758, 55.61402425], [37.744045258, 55.615944992], [37.743422985, 55.619786193], [37.74305284, 55.622006527], [37.742704153, 55.624154043], [37.742473483, 55.625553348], [37.742393017, 55.625962226], [37.742092609, 55.627891469], [37.741824389, 55.629360295], [37.741690278, 55.630132542], [37.741738558, 55.630235507], [37.741856575, 55.630320302], [37.742038965, 55.630365728], [37.742859721, 55.630386926], [37.747376561, 55.630489891], [37.750412822, 55.630574685]]], type=MultiLineString};{coordinates=[37.742704153, 55.624154043], type=Point}
Дмитровское шоссе, в обе стороны отСелигерская ул. до путепровод через Савеловскую железную дорогу;2021;да;Северный административный округ;[Бескудниковский район, район Западное Дегунино, Тимирязевский район];07.09.2021;15.10.2021;07.09.2021;22.10.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1146549491;{coordinates=[[[37.580430508, 55.808281522], [37.580816746, 55.808329756], [37.577726841, 55.813960631], [37.574400902, 55.819928228], [37.573370934, 55.82190517], [37.573113441, 55.823050303], [37.573113441, 55.826473449], [37.573113441, 55.831234013], [37.57294178, 55.834258778], [37.572877407, 55.834873343], [37.572448254, 55.835873497], [37.571160793, 55.839283465], [37.570281029, 55.841970261], [37.570216656, 55.842464226], [37.568414211, 55.847090323], [37.567491531, 55.849089976], [37.567148209, 55.849427256], [37.563736439, 55.85370324], [37.560732365, 55.857183904], [37.558887005, 55.858243699], [37.555046082, 55.860206651], [37.553372383, 55.8611339], [37.553007603, 55.860965311], [37.559831142, 55.857340467], [37.560560703, 55.856858734], [37.561998367, 55.855184668], [37.566440105, 55.849800671], [37.566719055, 55.849198388], [37.567105293, 55.848222669], [37.567770481, 55.846451858], [37.569379807, 55.842283508], [37.569723129, 55.841849781], [37.570667267, 55.839500343], [37.572169304, 55.835608398], [37.572577, 55.834511836], [37.57266283, 55.830619391], [37.572684288, 55.825207884], [37.572684288, 55.823460132], [37.572877407, 55.822266795], [37.573113441, 55.82148327], [37.576010227, 55.816311612], [37.577490807, 55.81367127], [37.579443455, 55.810138477], [37.580366135, 55.808281522]]], type=MultiLineString};{coordinates=[37.572169304, 55.835608398], type=Point}
Эльдара Рязанова ул.;2021;да;Юго-Западный административный округ;Обручевский район;19.07.2021;07.09.2021;19.07.2021;07.09.2021;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1146549754;{coordinates=[[[37.511208057, 55.661786119], [37.512774467, 55.662839134], [37.514147758, 55.663771089], [37.515392303, 55.664581992], [37.515864372, 55.664751433], [37.516980171, 55.66482405], [37.51938343, 55.664727227], [37.519962788, 55.664642507], [37.52150774, 55.663843708], [37.524747849, 55.662282371]]], type=MultiLineString};{coordinates=[37.516980171, 55.66482405], type=Point}
Басманный 1-й пер. после благоустройства ДКР;2022;да;Центральный административный округ;[Басманный район, Красносельский район];15.04.2022;31.10.2022;19.06.2022;24.06.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266112452;{coordinates=[[[37.663916945, 55.772161821], [37.663037181, 55.769777998]]], type=MultiLineString};{coordinates=[37.663916945, 55.772161821], type=Point}
Ирининский 1-й пер.;2022;да;Центральный административный округ;Басманный район;15.04.2022;31.10.2022;27.07.2022;30.08.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266112779;{coordinates=[[[37.68963933, 55.777751164], [37.690663934, 55.777111561], [37.691844106, 55.776450827], [37.692546844, 55.77606464]]], type=MultiLineString};{coordinates=[37.690663934, 55.777111561], type=Point}
Ирининский 2-й пер.;2022;да;Центральный административный округ;Басманный район;15.04.2022;31.10.2022;27.07.2022;30.08.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266113210;{coordinates=[[[37.688040733, 55.775581901], [37.688684464, 55.775222859], [37.689285278, 55.774921141], [37.689891458, 55.774604335]]], type=MultiLineString};{coordinates=[37.688684464, 55.775222859], type=Point}
Ирининский 3-й пер.;2022;да;Центральный административный округ;Басманный район;15.04.2022;31.10.2022;27.07.2022;30.08.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266114113;{coordinates=[[[37.687273622, 55.775153464], [37.688244581, 55.774749161], [37.689054608, 55.77441425], [37.6893121, 55.774314681]]], type=MultiLineString};{coordinates=[37.688244581, 55.774749161], type=Point}
Щипковский 4-й пер.;2022;да;Центральный административный округ;район Замоскворечье;15.04.2022;31.10.2022;15.06.2022;04.08.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266114929;{coordinates=[[[37.633200288, 55.722564888], [37.63327539, 55.722570553], [37.633585185, 55.722506352], [37.6339674, 55.722428932], [37.634621859, 55.722292975], [37.635190487, 55.722172125], [37.6357162, 55.72206638], [37.635734975, 55.722062226]]], type=MultiLineString};{coordinates=[37.634621859, 55.722292975], type=Point}
Лукьянова А. ул.;2022;да;Центральный административный округ;Басманный район;15.04.2022;31.10.2022;01.07.2022;06.07.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266117827;{coordinates=[[[37.664001435, 55.769736129], [37.664021552, 55.769550547], [37.664045691, 55.769320453], [37.664073855, 55.769087341], [37.664099336, 55.768831595], [37.664130181, 55.768541144], [37.664170414, 55.768251445], [37.664195895, 55.767964007], [37.664233446, 55.767645635], [37.664268315, 55.767336314], [37.664296478, 55.767052642], [37.664307207, 55.766923631]]], type=MultiLineString};{coordinates=[37.664170414, 55.768251445], type=Point}
Андроньевская площадь;2022;да;Центральный административный округ;Таганский район;15.04.2022;31.10.2022;20.05.2022;10.06.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266119046;{coordinates=[[[37.667685449, 55.746628475], [37.667613029, 55.746475996], [37.66785711, 55.74604573], [37.668235302, 55.746076302], [37.668294311, 55.746142729], [37.668492794, 55.746134426], [37.668495476, 55.746122348], [37.669275999, 55.746180094], [37.669284046, 55.746131784], [37.6694718, 55.746142352], [37.669469118, 55.746258599], [37.669517398, 55.746318987], [37.669643462, 55.746347672], [37.670423985, 55.746399756], [37.670383751, 55.747011935], [37.67041862, 55.747060244], [37.670574188, 55.747241405], [37.670351565, 55.747302169], [37.670214772, 55.747247443], [37.669764161, 55.747157241], [37.669420838, 55.747114593], [37.669176757, 55.747123273], [37.668782473, 55.746973438], [37.668846846, 55.746791521], [37.668739557, 55.746670746], [37.668613493, 55.746633004], [37.668133378, 55.746601301], [37.667685449, 55.746626965]]], type=MultiLineString};{coordinates=[37.668846846, 55.746791521], type=Point}
Власьевский Б. пер.;2022;да;Центральный административный округ;[район Арбат, район Хамовники];15.04.2022;31.10.2022;24.07.2022;29.07.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266122571;{coordinates=[[[37.590177655, 55.743700697], [37.590238005, 55.743802609], [37.590360045, 55.744024171], [37.590478063, 55.74424913], [37.590579987, 55.744428793], [37.590679228, 55.744608456], [37.590848207, 55.744911919], [37.590982318, 55.745161028], [37.591066137, 55.745391075], [37.591078877, 55.745576206], [37.59105809, 55.745724348], [37.591055408, 55.745793418], [37.591054738, 55.745800212], [37.59103328, 55.746048749], [37.590942085, 55.746288793], [37.590837479, 55.746491093], [37.590746284, 55.746697921], [37.590609491, 55.746978722], [37.590518296, 55.747158373]]], type=MultiLineString};{coordinates=[37.591066137, 55.745391075], type=Point}
Головин Б. пер.;2022;да;Центральный административный округ;[Красносельский район, Мещанский район];15.04.2022;31.10.2022;22.09.2022;04.10.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266123111;{coordinates=[[[37.625122815, 55.769370244], [37.625295818, 55.769352893], [37.625537217, 55.769338559], [37.625778615, 55.769323471], [37.625899315, 55.769327243], [37.626539022, 55.769345349], [37.627106309, 55.769361191], [37.627385259, 55.76936949], [37.628310621, 55.769400043], [37.629016042, 55.76941664], [37.629705369, 55.769434746], [37.630386651, 55.76945436], [37.630611286, 55.769460207], [37.631177902, 55.769478501], [37.631896734, 55.769452851], [37.63225615, 55.769431728]]], type=MultiLineString};{coordinates=[37.629016042, 55.76941664], type=Point}
Леонтьевский пер.;2022;да;Центральный административный округ;[Пресненский район, Тверской район];15.04.2022;31.10.2022;02.07.2022;19.08.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266125582;{coordinates=[[[37.600028068, 55.757350336], [37.60041967, 55.757759348], [37.600665092, 55.757998565], [37.600740194, 55.758049125], [37.601319551, 55.758342672], [37.601846606, 55.758609052], [37.602434009, 55.758907123], [37.60295704, 55.759224812], [37.603423744, 55.759505523], [37.60403797, 55.7598715], [37.604569048, 55.76019069], [37.605113536, 55.760528742], [37.605637908, 55.760881882], [37.606092542, 55.7611822], [37.606914639, 55.761727745], [37.607367933, 55.762041638], [37.607845366, 55.762344965]], [[37.60784545, 55.762345107], [37.60810487, 55.762437396], [37.608248368, 55.762499269]]], type=MultiLineString};{coordinates=[37.60403797, 55.7598715], type=Point}
Гнездниковский Б. пер.;2022;да;Центральный административный округ;Тверской район;15.04.2022;31.10.2022;19.07.2022;19.08.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266125866;{coordinates=[[[37.606250793, 55.761283688], [37.606073767, 55.761414227], [37.60576129, 55.761622485], [37.60538578, 55.761887333], [37.605080009, 55.762099361], [37.604771554, 55.762317424], [37.604579777, 55.762445696], [37.604539543, 55.762494741], [37.604526132, 55.762544541], [37.604532838, 55.762592831], [37.604563683, 55.762636594], [37.604685724, 55.76275732], [37.604823858, 55.762897663], [37.604939193, 55.763015369], [37.605097443, 55.763173066], [37.605196685, 55.763271908], [37.605342865, 55.763389614], [37.605586946, 55.763584657], [37.605796158, 55.763756687], [37.605932951, 55.763860809], [37.606088519, 55.763937769], [37.606292367, 55.764016238]]], type=MultiLineString};{coordinates=[37.604939193, 55.763015369], type=Point}
Гнездниковский М. переулок;2022;да;Центральный административный округ;[Пресненский район, Тверской район];15.04.2022;31.10.2022;18.07.2022;19.08.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266125983;{coordinates=[[[37.603980303, 55.760972053], [37.604209632, 55.761112402], [37.60462001, 55.761363672], [37.60492444, 55.761556839], [37.605231553, 55.761753023], [37.605553418, 55.761948452], [37.605845779, 55.762144634], [37.60605365, 55.762285734], [37.606300414, 55.76245626], [37.606654465, 55.762685639], [37.606960237, 55.762894645], [37.60726735, 55.763099122], [37.607377321, 55.763167029]]], type=MultiLineString};{coordinates=[37.605553418, 55.761948452], type=Point}
Брюсов переулок;2022;да;Центральный административный округ;[Пресненский район, Тверской район];15.04.2022;31.10.2022;20.07.2022;11.08.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266126246;{coordinates=[[[37.604703829, 55.756707945], [37.604784966, 55.756822652], [37.60488756, 55.756958488], [37.604979426, 55.757089419], [37.605073303, 55.757223368], [37.605125606, 55.757291286], [37.605232894, 55.757404859], [37.60538511, 55.757528996], [37.605582252, 55.757693884], [37.605747208, 55.757828962], [37.605906129, 55.757965173], [37.60605365, 55.758089686], [37.606219277, 55.758225518], [37.606357411, 55.758343993], [37.606491521, 55.758459827], [37.606657818, 55.758601694], [37.606754377, 55.75866961], [37.606926039, 55.758791479], [37.607080266, 55.75890618], [37.607241869, 55.759018616], [37.607391402, 55.759148408], [37.607541606, 55.759277823], [37.607690468, 55.759400445], [37.607820556, 55.759512503], [37.607980818, 55.759618523], [37.608137056, 55.759701529], [37.608224228, 55.759741522], [37.608401924, 55.759807926], [37.608658075, 55.759879989], [37.6089672, 55.75996073], [37.609250844, 55.760041094], [37.609521747, 55.760112779], [37.609885857, 55.760213139], [37.610082999, 55.760269355], [37.610333115, 55.760337268], [37.61054635, 55.760392352]]], type=MultiLineString};{coordinates=[37.607241869, 55.759018616], type=Point}
Шведский тупик;2022;да;Центральный административный округ;Пресненский район;15.04.2022;31.10.2022;22.07.2022;13.08.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266126388;{coordinates=[[[37.602554709, 55.761423848], [37.602771297, 55.761356315], [37.602973133, 55.761293686], [37.603181005, 55.761228417], [37.603391558, 55.761162392], [37.603586689, 55.761102404], [37.603762373, 55.76104883], [37.603938058, 55.760992992], [37.604038641, 55.760953], [37.604301497, 55.760818687], [37.60446243, 55.760738702], [37.604658231, 55.760639476], [37.604841292, 55.760547795], [37.605021, 55.760455736]]], type=MultiLineString};{coordinates=[37.603762373, 55.76104883], type=Point}
Елисеевский пер.;2022;да;Центральный административный округ;Пресненский район;15.04.2022;31.10.2022;12.06.2022;11.08.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266126619;{coordinates=[[[37.607377321, 55.759118036], [37.607153356, 55.759222171], [37.607082278, 55.759252355], [37.607033998, 55.759268201], [37.60700047, 55.759274993], [37.606973648, 55.759274993], [37.606914639, 55.759267447], [37.606881112, 55.759259146], [37.606752366, 55.759221416], [37.606333941, 55.759078042], [37.606240064, 55.759047103], [37.606193125, 55.759047103], [37.606128752, 55.759054649], [37.606083155, 55.75907125], [37.60604158, 55.759095397], [37.605836391, 55.759232735], [37.605561465, 55.759409312], [37.605346888, 55.759549667], [37.605113536, 55.759702095], [37.604835927, 55.759883196], [37.604628056, 55.760018267], [37.604447007, 55.760136737]]], type=MultiLineString};{coordinates=[37.605836391, 55.759232735], type=Point}
Левшинский Б. пер.;2022;да;Центральный административный округ;район Хамовники;15.04.2022;31.10.2022;24.08.2022;30.08.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266126825;{coordinates=[[[37.584921867, 55.741235109], [37.585346997, 55.741352881], [37.585797608, 55.741482732], [37.586069852, 55.741557471], [37.586317956, 55.741630701], [37.586579472, 55.741726578], [37.58678332, 55.741800562], [37.587090433, 55.741910783], [37.587372065, 55.742011945], [37.587638944, 55.742107821], [37.587899119, 55.742196903], [37.588148564, 55.742285985], [37.588389963, 55.742373557], [37.588602863, 55.742453296], [37.58877486, 55.742533601], [37.588966638, 55.742631741], [37.589340806, 55.742816697], [37.589651942, 55.742969945], [37.589955032, 55.743123948], [37.590136081, 55.743211518], [37.590192407, 55.743240204], [37.590307742, 55.743323244], [37.590554506, 55.743502157], [37.590787858, 55.743663707], [37.591015846, 55.743822236], [37.591170073, 55.743930187], [37.591229081, 55.74397699]]], type=MultiLineString};{coordinates=[37.588148564, 55.742285985], type=Point}
Могильцевский Б. переулок;2022;да;Центральный административный округ;район Хамовники;15.04.2022;31.10.2022;18.07.2022;31.07.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266126976;{coordinates=[[[37.588537484, 55.744137028], [37.588518709, 55.743945285], [37.588524073, 55.743927167], [37.588538826, 55.743912824], [37.588579059, 55.743896216], [37.588644773, 55.743884138], [37.588900924, 55.743851677], [37.589246929, 55.743816197], [37.589575499, 55.743778452], [37.589863837, 55.743745991], [37.590162903, 55.74371353], [37.590512931, 55.743672766], [37.590769082, 55.743643325]]], type=MultiLineString};{coordinates=[37.589575499, 55.743778452], type=Point}
Строченовский Б. пер.;2022;да;Центральный административный округ;район Замоскворечье;27.09.2022;31.10.2022;27.09.2022;14.10.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266127132;{coordinates=[[[37.629906535, 55.730243757], [37.630004436, 55.730002105], [37.630114406, 55.729712874], [37.630205601, 55.729489343], [37.630299479, 55.729238623], [37.630387992, 55.729001495], [37.630479187, 55.728768142], [37.630569041, 55.728518928], [37.630661577, 55.7282969], [37.630764842, 55.7280356], [37.630850673, 55.727787137], [37.630936503, 55.727582474], [37.631023675, 55.727348357], [37.63111487, 55.727121036], [37.631192654, 55.72691637], [37.631274462, 55.726698109], [37.631331459, 55.726549894], [37.631385103, 55.726416595], [37.631456852, 55.726232128], [37.631544024, 55.726004045], [37.631637901, 55.725772185], [37.631668746, 55.725680799]]], type=MultiLineString};{coordinates=[37.630764842, 55.7280356], type=Point}
Афанасьевский Б. пер. от гагаринского пер до сивцев вражек пер;2022;да;Центральный административный округ;[район Арбат, район Хамовники];15.04.2022;31.10.2022;03.08.2022;28.08.2022;текущий ремонт асфальтобетонного покрытия;закончены;Титульный список объектов улично-дорожной сети города Москвы, подлежащих ремонту;ГБУ АВТОМОБИЛЬНЫЕ ДОРОГИ;;1266127555;{coordinates=[[[37.597598657, 55.74483209], [37.597561777, 55.744886442], [37.597527578, 55.744943057], [37.597514838, 55.744995144], [37.597494051, 55.745090636], [37.597491369, 55.745201602], [37.597490698, 55.745325779], [37.597486675, 55.745472978], [37.597482651, 55.745622442], [37.597482651, 55.745750014], [37.597477958, 55.74587834], [37.597474605, 55.746013837], [37.597473264, 55.74615877], [37.597470582, 55.74628634], [37.597463876, 55.746450897], [37.5974565, 55.746588657], [37.597451136, 55.746756987], [37.597447783, 55.74692343], [37.597439736, 55.747154976], [37.59743169, 55.747450116], [37.597423643, 55.747599572], [37.597396821, 55.747857722], [37.597374022, 55.748106057], [37.597344518, 55.748442704], [37.597325742, 55.748660844], [37.597300261, 55.748910684], [37.597296238, 55.749003713], [37.59728685, 55.749132028], [37.597267404, 55.749311292], [37.597264387, 55.749568393], [37.597280145, 55.749943615], [37.59729892, 55.750284775], [37.597309649, 55.75059876], [37.597295567, 55.750723863], [37.597272769, 55.750879722], [37.597247288, 55.75104275], [37.597205043, 55.751270876], [37.597172856, 55.751440695]]], type=MultiLineString};{coordinates=[37.597374022, 55.748106057], type=Point}
