"Ext_id";"Address";"global_id";"AdmArea";"District";"Event_type";"Name";"Requester";"TS_from";"TS_to";"Lanes_closed";"Descr";"Geometry_type";"Geometry_point";"Geometry_line";"geoData";"geodata_center";
"Идентификатор";"Местоположение";"global_id";"Административный округ";"Район";"Тип события";"Наименование события";"Инициатор";"Дата и время начала перекрытия";"Дата и время окончания перекрытия";"Количество перекрытых полос";"Дополнительная информация";"Тип геометрии";"Координаты для точечных объектов";"Координаты для линейных объектов";"geoData";"geodata_center";
"295";"съезд с СВХ на Открытое ш. (Открытое ш., вл.16с21 - вл.16с7)";"2699910409";"Восточный административный округ";"район Метрогородок";"Ремонтные работы";"Работы Департамента строительства";"АО «МСУ-1»";"01.09.2024";"31.08.2025";"";"";"line";"";"37.7436375617981,55.8142077922846;37.7429187297821,55.814617714513;37.742006778717,55.8150999704302;37.7412557601929,55.8154797427589;37.740912437439,55.8156967538541;37.7408748865128,55.815782653745;37.740925848484,55.8158866375697;37.7411216497421,55.8160252822372;37.7417519688606,55.816399017576;37.7420094609261,55.8165497162939;37.7421140670776,55.816649177128;37.7421677112579,55.8168661817019";"{coordinates=[[[37.743637562, 55.814207792], [37.74291873, 55.814617715], [37.742006779, 55.81509997], [37.74125576, 55.815479743], [37.740912437, 55.815696754], [37.740874887, 55.815782654], [37.740925848, 55.815886638], [37.74112165, 55.816025282], [37.741751969, 55.816399018], [37.742009461, 55.816549716], [37.742114067, 55.816649177], [37.742167711, 55.816866182]]], type=MultiLineString}";"";
"293";"ул. Лухмановская (ООТ «Метро Лухмановская, западный вход»)";"2699910410";"Восточный административный округ";"район Косино-Ухтомский";"Ремонтные работы";"Работы Департамента строительства";"АО «Мосинжпроект»";"21.11.2024";"18.12.2024";"1";"";"line";"";"37.8970009088516,55.7096242682976;37.8971993923187,55.7101440909565";"{coordinates=[[[37.897000909, 55.709624268], [37.897199392, 55.710144091]]], type=MultiLineString}";"";
"291";"ул. Горького (ул. Горького, д.32 - Зайцевское ш.)";"2699910411";"Новомосковский административный округ";"поселение Кокошкино";"Ремонтные работы";"Коммерческие организации";"ООО «Современные технологии дорожного строительства»";"02.09.2024";"30.09.2025";"1";"";"line";"";"37.158485,55.588203;37.15878,55.588399;37.159276,55.588704;37.159491,55.588816;37.159686,55.588904;37.159844,55.588969;37.159913,55.588998";"{coordinates=[[[37.158485, 55.588203], [37.15878, 55.588399], [37.159276, 55.588704], [37.159491, 55.588816], [37.159686, 55.588904], [37.159844, 55.588969], [37.159913, 55.588998]]], type=MultiLineString}";"";
"289";"ул. Линии Октябрьской Железной дороги, д.5с1";"2699910413";"Северный административный округ";"Тимирязевский район";"Ремонтные работы";"Коммерческие организации";"ООО «ПМК-219»";"01.09.2024";"20.12.2024";"1";"";"line";"";"37.560325,55.845693;37.560742,55.845441";"{coordinates=[[[37.560325, 55.845693], [37.560742, 55.845441]]], type=MultiLineString}";"";
"282";"Ильменский пр-д, д.4, стр.2";"2699910417";"Северный административный округ";"район Западное Дегунино";"Ремонтные работы";"Работы ДЖКХ";"ООО «АртСтройТехнология»";"23.08.2024";"31.12.2024";"";"";"line";"";"37.552204,55.859308;37.552552,55.859455";"{coordinates=[[[37.552204, 55.859308], [37.552552, 55.859455]]], type=MultiLineString}";"";
"277";"просп. Генерала Дорохова (в сторону Аминьевского ш.) (ул. Рябиновая, д.55с29)";"2699910418";"Западный административный округ";"район Очаково-Матвеевское";"Ремонтные работы";"Работы ДЖКХ";"ООО «Созидание»";"30.11.2024";"30.12.2024";"1";"";"line";"";"37.431365,55.687847;37.431968,55.687954;37.43199,55.687958;37.431996,55.687959;37.432081,55.687974";"{coordinates=[[[37.431365, 55.687847], [37.431968, 55.687954], [37.43199, 55.687958], [37.431996, 55.687959], [37.432081, 55.687974]]], type=MultiLineString}";"";
"276";"дублер ул. Героев Панфиловцев (в районе д.35)";"2699910419";"Северо-Западный административный округ";"район Северное Тушино";"Ремонтные работы";"Работы ДЖКХ";"АО «ГЭХ Теплостройпроект»";"21.08.2024";"31.12.2024";"";"";"line";"";"37.41148,55.85608;37.411823,55.856255;37.412395,55.856498;37.412401,55.8565;37.412402,55.8565;37.412454,55.856522;37.412555,55.856565;37.412699,55.856625";"{coordinates=[[[37.41148, 55.85608], [37.411823, 55.856255], [37.412395, 55.856498], [37.412401, 55.8565], [37.412402, 55.8565], [37.412454, 55.856522], [37.412555, 55.856565], [37.412699, 55.856625]]], type=MultiLineString}";"";
"266";"ул. Нижние Мневники (от ООТ «Музыкальная академия» до д.68 ул. Нижние Мневники, в сторону центра)";"2699910421";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Ремонтные работы";"Работы Департамента строительства";"ГКУ «УДМС»";"17.06.2023";"31.12.2024";"";"";"line";"";"37.4569362401962,55.7530322572984;37.4575263261795,55.7535547248216;37.4585520026449,55.7545627545479;37.4592311378365,55.7549890022656;37.4611526727676,55.7560442351165;37.4626343247655,55.7568493514586;37.4635688067792,55.7573314701616;37.4639732833748,55.75756174651;37.4644142389298,55.757825302358;37.4648262264964,55.7582611735083;37.465173839737,55.7586695698161;37.4654088021634,55.7589789617737;37.4662284841907,55.7604813863372";"{coordinates=[[[37.45693624, 55.753032257], [37.457526326, 55.753554725], [37.458552003, 55.754562755], [37.459231138, 55.754989002], [37.461152673, 55.756044235], [37.462634325, 55.756849351], [37.463568807, 55.75733147], [37.463973283, 55.757561747], [37.464414239, 55.757825302], [37.464826226, 55.758261174], [37.46517384, 55.75866957], [37.465408802, 55.758978962], [37.466228484, 55.760481386]]], type=MultiLineString}";"";
"262";"ул. Сельскохозяйственная, д.22к1с1 - д.22к1";"2699910422";"Северо-Восточный административный округ";"район Ростокино";"Ремонтные работы";"Работы ДЖКХ";"ООО «Степдорстрой»";"16.09.2024";"30.12.2024";"1";"";"line";"";"37.641534,55.836205;37.641923,55.836075;37.641927,55.836074;37.641928,55.836073;37.641984,55.836055;37.641984,55.836054;37.641994,55.836051;37.642898,55.835748;37.642908,55.835745;37.642909,55.835745;37.642937,55.835735";"{coordinates=[[[37.641534, 55.836205], [37.641923, 55.836075], [37.641927, 55.836074], [37.641928, 55.836073], [37.641984, 55.836055], [37.641984, 55.836054], [37.641994, 55.836051], [37.642898, 55.835748], [37.642908, 55.835745], [37.642909, 55.835745], [37.642937, 55.835735]]], type=MultiLineString}";"";
"260";"местный проезд (г. Зеленоград, к1824)";"2699910423";"Зеленоградский административный округ";"район Крюково";"Ремонтные работы";"Коммерческие организации";"ООО «Инжестрой»";"01.09.2024";"20.05.2025";"1";"";"line";"";"37.168373465538,55.9826134223954;37.167649269104,55.9823373207707";"{coordinates=[[[37.168373466, 55.982613422], [37.167649269, 55.982337321]]], type=MultiLineString}";"";
"252";"Проектируемый пр. №1002 (ул. Центральная, д.2Б)";"2699910424";"Западный административный округ";"район Внуково";"Ремонтные работы";"Коммерческие организации";"АО «Международный аэропорт «Внуково»";"14.11.2024";"05.05.2025";"1";"";"line";"";"37.301147,55.603167;37.299982,55.602848;37.299948,55.602836;37.299917,55.602823;37.29988,55.602801;37.29985,55.602776;37.299829,55.602748;37.299817,55.602719;37.299815,55.602709;37.299821,55.602625;37.299821,55.602624;37.299821,55.602622;37.299826,55.602548";"{coordinates=[[[37.301147, 55.603167], [37.299982, 55.602848], [37.299948, 55.602836], [37.299917, 55.602823], [37.29988, 55.602801], [37.29985, 55.602776], [37.299829, 55.602748], [37.299817, 55.602719], [37.299815, 55.602709], [37.299821, 55.602625], [37.299821, 55.602624], [37.299821, 55.602622], [37.299826, 55.602548]]], type=MultiLineString}";"";
"238";"Строительный пр., д.5с4";"2699910426";"Северо-Западный административный округ";"район Южное Тушино";"Ремонтные работы";"Работы ДЖКХ";"ООО «СФ ТЦС»";"28.08.2024";"30.12.2024";"1";"";"line";"";"37.429861,55.838068;37.430637,55.838033;37.431516,55.837989";"{coordinates=[[[37.429861, 55.838068], [37.430637, 55.838033], [37.431516, 55.837989]]], type=MultiLineString}";"";
"235";"ул. Радио (в районе д.9/23 по ул. 2-я Бауманская)";"2699910427";"Центральный административный округ";"Басманный район";"Ремонтные работы";"Работы ДЖКХ";"АО «МОСГАЗ»";"25.07.2024";"31.12.2024";"";"";"line";"";"37.6820039746963,55.7630073828794;37.6824760434829,55.7629259212825;37.6832261681557,55.7628505046183;37.6834693549972,55.7628303837557;37.6836410163742,55.7627883673123;37.6839601992469,55.7627265165087";"{coordinates=[[[37.682003975, 55.763007383], [37.682476043, 55.762925921], [37.683226168, 55.762850505], [37.683469355, 55.762830384], [37.683641016, 55.762788367], [37.683960199, 55.762726517]]], type=MultiLineString}";"";
"222";"ул. Большая Почтовая, д.43-45с5 - д.22с4";"2699910428";"Центральный административный округ";"Басманный район";"Ремонтные работы";"Работы ДЖКХ";"ООО «Энергоиндустрия»";"04.10.2024";"20.12.2024";"1";"";"line";"";"37.695056,55.777403;37.695409,55.7776;37.695414,55.777603;37.695422,55.777607;37.695951,55.777902";"{coordinates=[[[37.695056, 55.777403], [37.695409, 55.7776], [37.695414, 55.777603], [37.695422, 55.777607], [37.695951, 55.777902]]], type=MultiLineString}";"";
